School_Year,LEA_Name,School_Name,LEA_Code,School_Code,LEA_ID_NCES,School_Type_State,School_Type_NCES,Web_Site,Charter_Status,SY_Start_School_Opp_Status,School_Address_Mailing_2,School_City,ZIP_Code_Mailing,School_Address_Location_1,School_Address_Location_2,School_ZIP_Code_Location,PreK_3,Prek_4,Preschool,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Ungraded,No_Grade,Grade_Adult,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
2012-2013,William E. Doar Jr PCS,William E. Doar Jr PCS,153,210,1100053,Regular School,Regular School,http://www.wedjschool.us/,Yes,Open,NULL,Washington,20017,705 Edgewood St NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,705 EDGEWOOD STREET NE,400359.57000000,139530.04000000,38.92364480,-76.99585343,Ward 5,009204,20017,289576,100.00000000,DC Address,
2012-2013,Latin American Youth Center (LAYC) Career Academy,Latin American Youth Center Career Academy,172,104,1100059,Regular School,Regular School,www.laycca.org/,Yes,Open,NULL,Washington,20009,3047 15th St NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3047 15TH STREET NW,396892.23000000,140071.02000000,38.92851269,-77.03584130,Ward 1,002802,20009,243343,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Langley EC,1,370,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,101 T Street NE,NULL,20002,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,101 T STREET NE,399489.48000000,138589.14000000,38.91516879,-77.00588662,Ward 5,008701,20002,285757,100.00000000,DC Address,
2012-2013,Maya Angelou PCS,Maya Angelou Evans Campus PCS,133,101,1100014,Alternative Education School,Alternative Education School,www.seeforever.org,Yes,Open,NULL,Washington,20019,5600 East Capitol Street NE,3rd Floor,20019,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,5600 EAST CAPITOL STREET NE,406885.34000000,135830.53000000,38.89029144,-76.92063526,Ward 7,007808,20019,289793,100.00000000,DC Address,
2012-2013,Cesar Chavez PCS,Cesar Chavez Parkside MS PCS,109,102,1100005,Regular school,Regular School,www.chavezschools.org,Yes,Open,NULL,Washington,20019,3701 Hayes St  NE,NULL,20019,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,3701 HAYES STREET NE,404418.20000000,137066.13000000,38.90143803,-76.94906511,Ward 7,009602,20019,304053,100.00000000,DC Address,
2012-2013,St. Coletta Special Education PCS,St. Coletta Special Education PCS,143,1047,1100064,Special education school,Special education school,www.stcoletta.org,Yes,Open,NULL,Washington,20003,1901 Independence Avenue SE,NULL,20003,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,1901 INDEPENDENCE AVENUE SE,402023.67000000,135486.49000000,38.88721683,-76.97667492,Ward 7,006804,20003,302511,100.00000000,DC Address,
2012-2013,Community Academy PCS,Community Academy Amos I,113,105,1100007,Regular school,Regular School,www.capcs.org,Yes,Open,NULL,Washington,20011,1300 Allison St NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1300 ALLISON STREET NW,397352.45000000,141867.84000000,38.94470049,-77.03054061,Ward 4,002501,20011,255251,100.00000000,DC Address,
2012-2013,Community Academy PCS,Community Academy Butler Bilingual,113,106,1100007,Regular school,Regular School,www.capcs.org,Yes,Open,NULL,Washington,20005,5 Thomas Circle NW,NULL,20005,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5 THOMAS CIRCLE NW,397172.36000000,137624.15000000,38.90647143,-77.03260054,Ward 2,005201,20005,243014,100.00000000,DC Address,
2012-2013,The Next Step PCS,The Next Step PCS- Adult,145,1061,1100017,Regular school,Regular School,www.nextsteppcs.org,Yes,Open,NULL,Washington,20009,3047 15th St NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,3047 15TH STREET NW,396892.23000000,140071.02000000,38.92851269,-77.03584130,Ward 1,002802,20009,243343,100.00000000,DC Address,
2012-2013,Community Academy PCS,Community Academy Online,113,108,1100007,Regular school,Regular School,www.k12.com/capcs,Yes,Open,NULL,Washington,20011,1351 Nicholson St NW,NULL,20011,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1351 NICHOLSON STREET NW,397261.57000000,143623.99000000,38.96052008,-77.03159596,Ward 4,002001,20011,257768,100.00000000,DC Address,
2012-2013,Achievement Preparatory Academy PCS,Achievement Preparatory Academy PCS,155,1100,1100072,Regular school,Regular School,www.aprepacademy.org,Yes,Open,2nd Floor,Washington,20032,908 Wahler Pl  SE,Second Floor,20032,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,908 WAHLER PLACE SE,400671.25000000,129615.24000000,38.83432822,-76.99226882,Ward 8,009801,20032,294502,100.00000000,DC Address,
2012-2013,Capital City PCS,Capital City High School PCS,108,1101,1100035,Regular school,Regular School,www.ccpcs.org,Yes,Open,NULL,Washington,20011,100 Peabody St NW,NULL,20011,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,100 PEABODY STREET NW,398884.80000000,143806.18000000,38.96216486,-77.01286745,Ward 4,001902,20011,277545,100.00000000,DC Address,
2012-2013,Center City PCS,Center City Brightwood Campus PCS,156,1103,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20011,6008 Georgia Ave NW,NULL,20011,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,6008 GEORGIA AVENUE NW,397544.85000000,143920.50000000,38.96319196,-77.02832854,Ward 4,001804,20011,253198,100.00000000,DC Address,
2012-2013,Center City PCS,Center City Capitol Hill Campus PCS,156,1104,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20003,1503 East Capitol St SE,NULL,20003,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1503 EAST CAPITOL STREET SE,401448.44000000,135742.68000000,38.88952582,-76.98330456,Ward 6,006801,20003,295125,100.00000000,DC Address,
2012-2013,Center City PCS,Center City Congress Heights Campus PCS,156,1105,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20032,220 Highview Pl SE,NULL,20032,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,220 HIGHVIEW PLACE SE,399614.14000000,130420.96000000,38.84158668,-77.00444463,Ward 8,010400,20032,303702,100.00000000,DC Address,
2012-2013,Center City PCS,Center City Petworth Campus PCS,156,1106,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20011,510 Webster St NW,NULL,20011,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,510 WEBSTER STREET NW,398187.59000000,141775.54000000,38.94387114,-77.02090667,Ward 4,002400,20011,303332,100.00000000,DC Address,
2012-2013,Center City PCS,Center City Shaw Campus PCS,156,1107,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20001,711 N Street NW,NULL,20001,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,711 N STREET NW,398034.11000000,137731.91000000,38.90744452,-77.02266552,Ward 6,004902,20001,290191,100.00000000,DC Address,
2012-2013,Center City PCS,Center City Trinidad Campus PCS,156,1108,1100073,Regular school,Regular School,www.centercitypcs.org,Yes,Open,NULL,Washington,20002,1217 W  Virginia Ave NE,NULL,20002,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1217 WEST VIRGINIA AVENUE NE,400763.10000000,137493.55000000,38.90529915,-76.99120218,Ward 5,008802,20002,285938,100.00000000,DC Address,
2012-2013,Community Academy PCS,Community Academy Amos III Amstrong,113,1109,1100007,Regular school,Regular School,www.capcs.org,Yes,Open,NULL,Washington,20001,1400 1st St NW,NULL,20001,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1400 1ST STREET NW,398853.47000000,137913.33000000,38.90908026,-77.01321910,Ward 5,004600,20001,238253,100.00000000,DC Address,
2012-2013,D.C. Preparatory Academy PCS,D C  Preparatory Benning Campus PCS,115,1110,1100048,Regular school,Regular School,www.dcprep.org,Yes,Open,NULL,Washington,20019,100 41st St NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,100 41ST STREET NE,404787.00000000,135910.06000000,38.89102180,-76.94482148,Ward 7,009603,20019,294468,100.00000000,DC Address,
2012-2013,Early Childhood Academy PCS,Early Childhood Academy PCS Walter Washington,118,1112,1100057,Regular school,Regular School,www.ecapcs.org,Yes,Open,NULL,Washington,20032,4301 9th St SE,NULL,20032,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,4301 9TH STREET SE,400902.69000000,129245.01000000,38.83099281,-76.98960367,Ward 8,009700,20032,298086,100.00000000,DC Address,
2012-2013,Excel Academy PCS,Excel Academy PCS,158,1113,1100076,Regular school,Regular School,www.excelpcs.org,Yes,Open,NULL,Washington,20020,2501 Martin Luther King Jr Ave SE,NULL,20020,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2501 MARTIN LUTHER KING JR AVENUE SE,400403.19000000,132438.56000000,38.85976209,-76.99535457,Ward 8,007401,20020,278172,100.00000000,DC Address,
2012-2013,Howard Road Academy PCS,Howard Road Academy PCS Pennsylvania Ave,123,1114,1100029,Regular school,Regular School,www.HowardRoadAcademy.org,Yes,Open,NULL,Washington,20020,3000 Pennsylvania Av SE,NULL,20020,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3000 PENNSYLVANIA AVENUE SE,403140.27000000,133701.05000000,38.87112961,-76.96381301,Ward 7,009901,20020,42549,100.00000000,DC Address,
2012-2013,Imagine Southeast PCS,Imagine Southeast PCS,159,1116,1100074,Regular school,Regular School,www.imaginesoutheastpcs.org,Yes,Open,NULL,Washington,20032,3100 Martin Luther King Jr Ave SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,3100 MARTIN LUTHER KING JR AVENUE SE,400161.23000000,130633.04000000,38.84349726,-76.99814278,Ward 8,010400,20032,301280,100.00000000,DC Address,
2012-2013,Washington Yu Ying PCS,Washington Yu Ying PCS,160,1117,1100077,Regular school,Regular School,www.washingtonyuying.org,Yes,Open,NULL,Washington,20017,220 Taylor Street NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,220 TAYLOR STREET NE,399680.78000000,141482.69000000,38.94123488,-77.00368216,Ward 5,009501,20017,50738,100.00000000,DC Address,
2012-2013,Washington Latin PCS,Washington Latin PCS HS,151,1118,1100019,Regular school,Regular School,www.latinpcs.org,Yes,Open,NULL,Washington,20011,4715 16th Street NW,NULL,20011,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,4715 16TH STREET NW,396875.21000000,142239.02000000,38.94804261,-77.03604746,Ward 4,002501,20011,255699,100.00000000,DC Address,
2012-2013,Carlos Rosario International PCS,Carlos Rosario International PCS Harvard Street Campus,162,1119,1100004,Adult Education,Regular School,www.carlosrosario.org,Yes,Open,NULL,Washington,20009,1100 Harvard St NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,1100 HARVARD STREET NW,397610.44000000,139843.33000000,38.92646384,-77.02755753,Ward 1,003600,20009,300733,100.00000000,DC Address,
2012-2013,National Collegiate Preparatory PCS,National Collegiate Prep PCS,163,1120,1100079,Regular school,Regular School,www.nationalprepdc.org,Yes,Open,NULL,Washington,20032,4600 Livingston Rd SE,NULL,20032,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,4600 LIVINGSTON ROAD SE,399731.95000000,128458.05000000,38.82390393,-77.00308684,Ward 8,009810,20032,294600,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC Promise PCS,129,1121,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20019,4801 Benning Rd SE,NULL,20019,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4801 BENNING ROAD SE,405692.28000000,134978.83000000,38.88262754,-76.93439427,Ward 7,009907,20019,17421,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC Discover PCS,129,1122,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20020,2600 Douglass Rd SE,NULL,20020,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,2601 DOUGLASS ROAD SE,401078.58000000,132172.13000000,38.85736141,-76.98757335,Ward 8,007406,20020,276167,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC College Prep PCS,129,1123,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20020,2600 Douglass Rd SE,NULL,20020,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,2601 DOUGLASS ROAD SE,401078.58000000,132172.13000000,38.85736141,-76.98757335,Ward 8,007406,20020,276167,100.00000000,DC Address,
2012-2013,Friendship PCS,Friendship PCS Tech Prep,120,1124,1100008,Vocational Shared Time,Regular School,www.friendshipschools.org,Yes,Open,NULL,Washington,20032,1601 16th St SE,NULL,20032,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,1601 16TH STREET SE,401468.56000000,133584.50000000,38.87008406,-76.98307725,Ward 8,007601,20020,155922,100.00000000,DC Address,
2012-2013,Eagle Academy PCS,Eagle Academy PCS New Jersey Avenue Campus,117,1125,1100049,Regular school,Regular School,www.eagleacademypcs.org,Yes,Open,NULL,Washington,20003,1017 New Jersey Ave SE,NULL,20003,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,1017 NEW JERSEY AVENUE SE,399558.98000000,134445.10000000,38.87783780,-77.00508258,Ward 6,007200,20003,276169,100.00000000,DC Address,
2012-2013,Howard Road Academy PCS,Howard Road Academy PCS  MLK Campus,123,1126,1100029,Regular school,Regular School,www.HowardRoadAcademy.org,Yes,Open,NULL,Washington,20020,2405 ML King Ave SE,NULL,20020,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,2405 MARTIN LUTHER KING JR AVENUE SE,400639.64000000,132770.45000000,38.86275176,-76.99262996,Ward 8,007401,20020,147816,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC GROW Academy PCS,129,1129,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20001,421 P St NW,NULL,20001,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,421 P STREET NW,398428.65000000,138002.89000000,38.90988639,-77.01811734,Ward 6,004801,20001,294487,100.00000000,DC Address,
2012-2013,Friendship PCS,Friendship PCS SouthEast Academy,120,113,1100008,Special Education school,Special education school,www.friendshipschools.org,Yes,Open,NULL,Washington,20032,645 Milwaukee Place SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,645 MILWAUKEE PLACE SE,400259.75000000,131109.73000000,38.84779147,-76.99700774,Ward 8,010400,20032,1655,100.00000000,DC Address,
2012-2013,Carlos Rosario International PCS,Carlos Rosario International PCS S Street Campus,162,1134,1100004,Adult Education,Regular School,www.carlosrosario.org,Yes,Open,NULL,Washington,20009,1501 Columbia Rd NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,1501 COLUMBIA ROAD NW,396874.22000000,139902.78000000,38.92699707,-77.03604824,Ward 1,002802,20009,297688,100.00000000,DC Address,
2012-2013,AppleTree Early Learning Center PCS,AppleTree Early Learning Center PCS Oklahoma,103,1137,1100054,Regular school,Regular School,www.appletreeinstitute.org,Yes,Open,NULL,Washington,20002,320 21st Street NE,NULL,20002,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,320 21ST STREET NE,402129.08000000,136264.62000000,38.89422626,-76.97545754,Ward 7,007903,20002,287504,100.00000000,DC Address,
2012-2013,E.L. Haynes PCS,E.L. Haynes Kansas Avenue - High School,116,1138,1100043,Regular School,Regular School,www.elhaynes.org,Yes,Open,NULL,Washington,20010,4501 Kansas Ave NW,NULL,20010,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,4501 KANSAS AVENUE NW,398056.76000000,141967.70000000,38.94560189,-77.02241638,Ward 4,002400,20011,284930,100.00000000,DC Address,
2012-2013,Hope Community Academy PCS,Hope Community PCS Tolson Campus,121,114,1100051,Regular school,Regular School,www.hopecommunitycs.org,Yes,Open,NULL,Washington,20017,2917 8th St NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,2917 8TH STREET NE,400466.83000000,139897.04000000,38.92695080,-76.99461626,Ward 5,009201,20017,43392,100.00000000,DC Address,
2012-2013,Howard University Middle School of Math and Science,Howard University Middle School of Math and Science PCS,124,115,1100058,Regular school,Regular School,www.howard.edu/ms2,Yes,Open,NULL,Washington,20059,405 Howard Pl NW,NULL,20059,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,405 HOWARD PLACE NW,398341.18000000,139441.04000000,38.92284156,-77.01912932,Ward 1,003400,20059,291490,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC AIM PCS Academy PCS,129,116,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20020,2600 Douglass Rd SE,NULL,20020,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,2601 DOUGLASS ROAD SE,401078.58000000,132172.13000000,38.85736141,-76.98757335,Ward 8,007406,20020,276167,100.00000000,DC Address,
2012-2013,Potomac Lighthouse PCS,Potomac Lighthouse PCS,139,117,1100060,Regular school,Regular School,www.lighthouse-academies.org,Yes,Open,NULL,Washington,20017,4401 8th Street NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,4401 8TH STREET NE,400474.03000000,141675.39000000,38.94297070,-76.99453200,Ward 5,009504,20017,22543,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC WILL Academy PCS,129,121,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20001,421 P St NW,NULL,20001,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,421 P STREET NW,398428.65000000,138002.89000000,38.90988639,-77.01811734,Ward 6,004801,20001,294487,100.00000000,DC Address,
2012-2013,Septima Clark PCS,Septima Clark PCS,161,123,1100066,Regular school,Regular School,www.buildingexcelentschools.org,Yes,Open,NULL,Washington,20020,2501 Martin Luther King Jr Avenue SE,NULL,20020,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,2501 MARTIN LUTHER KING JR AVENUE SE,400403.19000000,132438.56000000,38.85976209,-76.99535457,Ward 8,007401,20020,278172,100.00000000,DC Address,
2012-2013,Washington Latin PCS,Washington Latin PCS MS,151,125,1100019,Regular school,Regular School,www.latinpcs.org,Yes,Open,NULL,Washington,20011,4115 16th St NW,NULL,20011,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,4115 16TH STREET NW,396874.30000000,141487.48000000,38.94127252,-77.03605453,Ward 4,002502,20011,259140,100.00000000,DC Address,
2012-2013,Briya Public Charter School,Briya Public Charter School,119,126,1100016,Regular school,Regular School,http://briya.org/,Yes,Open,NULL,Washington,20009,2333 Ontario Rd NW,NULL,20009,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2333 ONTARIO ROAD NW,396548.08000000,139234.16000000,38.92097271,-77.03980610,Ward 1,003800,20009,284370,100.00000000,DC Address,
2012-2013,Cesar Chavez PCS,Cesar Chavez PCS Chavez Prep,109,127,1100005,Regular school,Regular School,www.chavezschools.org,Yes,Open,NULL,Washington,20010,770 Kenyon St NW,NULL,20010,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,770 KENYON STREET NW,397756.37000000,140192.11000000,38.92960614,-77.02587574,Ward 1,003100,20010,285409,100.00000000,DC Address,
2012-2013,Youthbuild PCS,Youthbuild PCS,131,128,1100059,Alternative Education School,Alternative Education School,www.youthbuildpcs.org,Yes,Open,NULL,Washington,20009,3014 14th St NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,3014 14TH STREET NW,397159.96000000,139985.56000000,38.92774375,-77.03275327,Ward 1,002802,20009,302258,100.00000000,DC Address,
2012-2013,D.C. Preparatory Academy PCS,D C  Preparatory Edgewood Elementary Campus PCS,115,130,1100048,Regular school,Regular School,www.dcprep.org,Yes,Open,NULL,Washington,20017,707 Edgewood St NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,707 EDGEWOOD STREET NE,400369.83000000,139600.22000000,38.92427699,-76.99573508,Ward 5,009204,20017,289577,100.00000000,DC Address,
2012-2013,Hope Community Academy PCS,Hope Community PCS Lamond Campus,121,131,1100051,Regular school,Regular School,www.hopecommunitycs.org,Yes,Open,NULL,Washington,20011,6200 Kansas Avenue NE,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,6200 KANSAS AVENUE NE,399254.07000000,144200.69000000,38.96571909,-77.00860715,Ward 4,009505,20011,304055,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC LEAP Academy PCS,129,132,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20019,4801 Benning Rd SE,NULL,20019,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4801 BENNING ROAD SE,405692.28000000,134978.83000000,38.88262754,-76.93439427,Ward 7,009907,20019,17421,100.00000000,DC Address,
2012-2013,Maya Angelou PCS,Maya Angelou Middle Campus PCS,133,133,1100014,Regular school,Regular School,www.seeforever.org,Yes,Open,NULL,Washington,20019,5600 East Capitol Street NE,1st Floor,20019,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,5600 EAST CAPITOL STREET NE,406885.34000000,135830.53000000,38.89029144,-76.92063526,Ward 7,007808,20019,289793,100.00000000,DC Address,
2012-2013,Ideal Academy PCS,Ideal Academy PCS North Capitol Street Campus ES,127,134,1100012,Regular school,Regular School,www.iapcs.com,Yes,Open,NULL,Washington,20011,6130 N Capitol St NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,6130 NORTH CAPITOL STREET NW,399139.13000000,144111.98000000,38.96491986,-77.00993332,Ward 4,001702,20011,285311,100.00000000,DC Address,
2012-2013,Mary McLeod Bethune  PCS,Mary McLeod Bethune Day Academy PCS Slowe Campus,132,135,1100044,Regular school,Regular School,www.mmbethunepcs.org,Yes,Open,NULL,Washington,20017,1404 Jackson Street NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1404 JACKSON STREET NE,401138.94000000,140191.85000000,38.92960592,-76.98686463,Ward 5,009301,20017,294522,100.00000000,DC Address,
2012-2013,Early Childhood Academy PCS,Early Childhood Academy PCS Johenning Campus,118,138,1100057,Regular school,Regular School,www.ecapcs.org,Yes,Open,NULL,Washington,20032,4025 9th St SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,4025 9TH STREET SE,400822.11000000,129329.27000000,38.83175194,-76.99053162,Ward 8,009700,20032,278471,100.00000000,DC Address,
2012-2013,AppleTree Early Learning Center PCS,AppleTree Early Learning Center PCS Amidon,103,139,1100054,Regular school,Regular School,www.appletreeinstitute.org,Yes,Open,NULL,Washington,20024,401 I Street SW,NULL,20024,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,401 I STREET SW,398427.29000000,134631.47000000,38.87951540,-77.01812530,Ward 6,010200,20024,294482,100.00000000,DC Address,
2012-2013,AppleTree Early Learning Center PCS,AppleTree Early Learning Center PCS Columbia Heights,103,140,1100054,Regular school,Regular School,www.appletreeinstitute.org,Yes,Open,NULL,Washington,20009,2750 14th Street NW,NULL,20009,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2750 14TH STREET NW,397160.68000000,139708.07000000,38.92524403,-77.03274382,Ward 1,003700,20009,297626,100.00000000,DC Address,
